ID	chrom	loc.start	loc.end	num.mark	seg.mean
mm9.TB.SID11	13	38714881	119737617	159	0.0912
mm9.TB.SID11	14	0	124602070	228	-0.4055
mm9.TB.SID11	15	0	61173029	116	-0.248
mm9.TB.SID11	15	61658775	102986140	87	0.134
mm9.TB.SID11	16	0	97814718	192	0.5691
mm9.TB.SID11	17	0	46586031	81	0.178
mm9.TB.SID11	17	47054094	94676235	97	-0.2858
mm9.TB.SID11	18	0	90105717	178	0.415
mm9.TB.SID11	19	0	10688939	15	0.5021
mm9.TB.SID11	19	11155735	28151172	36	0.2204
mm9.TB.SID11	19	28609075	34512953	13	0.6909
mm9.TB.SID11	19	34999925	36950209	5	0.4848
mm9.TB.SID11	19	37413729	39377557	5	0.2865
mm9.TB.SID11	19	40174604	55275528	33	0.5285
mm9.TB.SID11	19	55724102	60830384	12	0.2525
mm9.TB.SID11	20	0	1538205	270	-0.839378801
mm9.TB.SID12	1	0	31665801	55	0.1616
mm9.TB.SID12	1	32199606	43636431	25	0.2381
mm9.TB.SID12	1	44128102	71492331	55	0.1398
mm9.TB.SID12	1	71949908	75258838	8	0.321
mm9.TB.SID12	1	75725123	89002448	23	0.1758
mm9.TB.SID12	1	89468700	95049914	13	0.3765
mm9.TB.SID12	1	95504125	109911373	28	0.143
mm9.TB.SID12	1	110440970	119466572	18	0.0068
mm9.TB.SID12	1	120296152	179658340	122	0.178011554
mm9.TB.SID12	1	180320741	196640521	35	0.2794
mm9.TB.SID12	2	0	23840869	42	-0.8582
mm9.TB.SID12	2	24368585	35501891	25	-0.6246
mm9.TB.SID12	2	35954159	70651281	71	-0.8474
mm9.TB.SID12	2	71118634	164069665	189	-0.4347
mm9.TB.SID12	2	164549244	168259995	9	-0.218
mm9.TB.SID12	2	168718192	171949807	8	-0.4447
mm9.TB.SID12	2	172419673	181228717	14	-0.2426
mm9.TB.SID12	3	0	41957673	75	0.5024
mm9.TB.SID12	3	42463132	49423091	14	0.3803
mm9.TB.SID12	3	49927525	159019749	219	0.5298
mm9.TB.SID12	4	0	21142814	35	-0.1343
mm9.TB.SID12	4	21741777	25940137	9	0.2251
mm9.TB.SID12	4	26507056	56175560	58	-0.1367
mm9.TB.SID12	4	56664915	62890366	11	0.404157377
mm9.TB.SID12	4	63354222	71006783	16	0.2894
mm9.TB.SID12	4	71540462	81079287	19	0.625
mm9.TB.SID12	4	81599078	88369971	15	1.1734
mm9.TB.SID12	4	88927114	123642288	69	-0.4568
mm9.TB.SID12	4	124098704	155120393	63	-0.3099
mm9.TB.SID12	5	0	34849419	59	-0.1113
mm9.TB.SID12	5	35328098	38155854	7	0.1245
mm9.TB.SID12	5	38616002	55499272	35	-0.1245
mm9.TB.SID12	5	56014784	61310979	11	-0.3057
mm9.TB.SID12	5	61856371	109817966	92	-0.1527
mm9.TB.SID12	5	110523203	122095927	26	0.0372
mm9.TB.SID12	5	122551331	133982765	25	-0.119
mm9.TB.SID12	5	134457905	140798023	14	0.029653808
mm9.TB.SID12	5	141271256	151960154	22	-0.0559
mm9.TB.SID12	6	0	55440925	105	0.114
mm9.TB.SID12	6	55901854	69844676	26	-0.0244
mm9.TB.SID12	6	70653984	149004146	158	0.1181
mm9.TB.SID12	7	0	15013625	14	-0.5766
mm9.TB.SID12	7	16463046	38843540	34	-0.4103
mm9.TB.SID12	7	46737249	50904474	8	-0.6404
mm9.TB.SID12	7	51460006	53308794	5	-0.1744
mm9.TB.SID12	7	53756644	131738624	156	-0.4854
mm9.TB.SID12	7	132237318	135042341	7	-0.3037
mm9.TB.SID12	7	135527195	145354311	22	-0.4209
mm9.TB.SID12	7	145810190	152071114	14	-0.2403
mm9.TB.SID12	8	0	9803566	14	-0.1492
mm9.TB.SID12	8	10275149	14918724	11	0.0276
mm9.TB.SID12	8	15377999	118859299	200	-0.1973
mm9.TB.SID12	8	119325914	131123013	26	-0.035
mm9.TB.SID12	9	0	117824861	234	-0.4387
mm9.TB.SID12	9	118334765	123494127	12	-0.291872945
mm9.TB.SID12	10	0	58446319	110	-0.1254
mm9.TB.SID12	10	58922158	61676565	7	0.0798
mm9.TB.SID12	10	62146251	129382004	138	-0.0908
mm9.TB.SID12	11	0	13587314	22	-0.3389
mm9.TB.SID12	11	14145472	30446356	33	-0.4408
mm9.TB.SID12	11	30969628	113879159	175	-0.3456
mm9.TB.SID12	11	114335500	121344070	16	-0.1209
mm9.TB.SID12	12	0	90290206	163	0.2243
mm9.TB.SID12	12	90746606	95727687	11	0.011
mm9.TB.SID12	12	96233741	120667841	50	0.2841
mm9.TB.SID12	13	0	48085935	89	0.2614
mm9.TB.SID12	13	48544066	57562400	19	0.3764
mm9.TB.SID12	13	58009612	119737617	119	0.238892173
mm9.TB.SID12	14	0	35710333	56	0.2816
mm9.TB.SID12	14	36189265	53742166	29	0.1954
mm9.TB.SID12	14	54682749	81348063	57	0.2799
mm9.TB.SID12	14	81859037	85518764	8	0.0661
mm9.TB.SID12	14	86037547	88568487	6	0.2716
mm9.TB.SID12	14	89088765	96739348	16	0.1128
mm9.TB.SID12	14	97235312	107620959	22	0.2497
mm9.TB.SID12	14	108119831	113233317	11	0.0766
mm9.TB.SID12	14	113755112	124602070	23	0.3028
mm9.TB.SID12	15	0	14672500	24	0.419
mm9.TB.SID12	15	15210617	21483643	13	0.3017
mm9.TB.SID12	15	22017005	71144128	99	0.408
mm9.TB.SID12	15	71636177	88756634	37	0.59
mm9.TB.SID12	15	89224344	102986140	30	0.4742
mm9.TB.SID12	16	0	66804479	129	0.3069
mm9.TB.SID12	16	67260635	69288585	5	0.1111
mm9.TB.SID12	16	69797010	76188745	14	0.2616
mm9.TB.SID12	16	76662183	78617962	5	0.4188
mm9.TB.SID12	16	79131596	89199934	21	0.2352
mm9.TB.SID12	16	89701364	97814718	18	0.417
mm9.TB.SID12	17	0	94676235	178	-0.1191
mm9.TB.SID12	18	0	60086544	116	0.3034
mm9.TB.SID12	18	60656025	90105717	62	0.360634019
mm9.TB.SID12	19	0	7099177	9	0.5317
mm9.TB.SID12	19	7558869	44380951	75	0.293
mm9.TB.SID12	19	44840059	60830384	35	0.1057
mm9.TB.SID12	20	0	111363128	174	-1.5119
mm9.TB.SID12	20	111971429	1538205	96	-1.659707616
mm9.TB.SID13	1	0	102018489	192	-0.1661
mm9.TB.SID13	1	102523466	105806278	7	-0.3509
mm9.TB.SID13	1	106362561	186357529	161	-0.1731
mm9.TB.SID13	1	186825106	196640521	22	-0.0784
mm9.TB.SID13	2	0	178487814	352	0.124066036
mm9.TB.SID13	2	178952219	181228717	6	0.2737
mm9.TB.SID13	3	0	135275007	259	0.5622
mm9.TB.SID13	3	135763530	154958210	41	0.2724
mm9.TB.SID13	3	155460407	159019749	8	0.532
mm9.TB.SID13	4	0	155120393	295	-0.706741306
mm9.TB.SID13	5	0	151960154	291	-0.1063
mm9.TB.SID13	6	0	149004146	289	0.2503
mm9.TB.SID13	7	0	152071114	260	-0.1618
mm9.TB.SID13	8	0	8404786	11	0.5488
mm9.TB.SID13	8	8858663	14918724	14	0.7186
mm9.TB.SID13	8	15377999	131123013	226	0.5646
mm9.TB.SID13	9	0	7591974	9	0.5411
mm9.TB.SID13	9	8103372	30535823	45	-0.1539
mm9.TB.SID13	9	31001929	37453451	14	0.5661
mm9.TB.SID13	9	37965061	40603128	6	-0.1198
mm9.TB.SID13	9	41065252	45170347	10	0.5896
mm9.TB.SID13	9	45615614	123494127	162	-0.1546
mm9.TB.SID13	10	0	53727874	101	-0.5423
mm9.TB.SID13	10	54232495	56327769	5	-0.7565
mm9.TB.SID13	10	56841559	129382004	149	-0.5191
mm9.TB.SID13	11	0	121344070	246	-0.1554
mm9.TB.SID13	12	0	120667841	224	-0.2447
mm9.TB.SID13	13	0	119737617	227	-0.1603
mm9.TB.SID13	14	0	49933091	79	-0.149
mm9.TB.SID13	14	50418959	57141659	12	-0.2793
mm9.TB.SID13	14	57622109	124602070	137	-0.1266
mm9.TB.SID13	15	0	102986140	203	0.2725
mm9.TB.SID13	16	0	97814718	192	-0.1302
mm9.TB.SID13	17	0	94676235	178	0.2631
mm9.TB.SID13	18	0	90105717	178	0.2126
mm9.TB.SID13	19	0	30466091	56	0.4936
mm9.TB.SID13	19	30947649	54334777	49	0.1807
mm9.TB.SID13	19	54803121	60830384	14	0.2738
mm9.TB.SID13	20	0	85133822	127	0.2035
mm9.TB.SID13	20	85670001	89504072	7	0.0335
mm9.TB.SID13	20	90044596	117017801	50	0.1762
mm9.TB.SID13	20	117560340	1538205	86	-0.030898409
mm9.TB.SID14	1	0	196640521	382	-0.3629
mm9.TB.SID14	2	0	118165875	232	0.1872
mm9.TB.SID14	2	118626829	121463153	7	0.028
mm9.TB.SID14	2	121938060	181228717	119	0.1976
mm9.TB.SID14	3	0	47814827	86	0.48344126
mm9.TB.SID14	3	48338350	89181743	82	0.7673
mm9.TB.SID14	3	89634833	159019749	140	0.4833
mm9.TB.SID14	4	0	155120393	295	-0.386477091
mm9.TB.SID14	5	0	77140930	144	0.1296
mm9.TB.SID14	5	77615575	151960154	147	-0.3692
mm9.TB.SID14	6	0	20398332	34	0.2076
mm9.TB.SID14	6	20943554	60942788	81	-0.3821
mm9.TB.SID14	6	61440900	63491719	5	0.5215
mm9.TB.SID14	6	63980803	126608952	125	0.1843
mm9.TB.SID14	6	127071280	149004146	44	0.5835
mm9.TB.SID14	7	0	26017326	26	0.0746
mm9.TB.SID14	7	26544380	91274996	110	-0.4032
mm9.TB.SID14	7	91748984	95032579	7	-0.5866
mm9.TB.SID14	7	95546894	152071114	117	-0.365163095
mm9.TB.SID14	8	0	9803566	14	0.1485
mm9.TB.SID14	8	10275149	19393109	20	0.2717
mm9.TB.SID14	8	22891981	131123013	217	0.118
mm9.TB.SID14	9	0	7012160	8	0.5485
mm9.TB.SID14	9	7591974	21344737	27	1.1041
mm9.TB.SID14	9	21816975	24796883	7	0.6369
mm9.TB.SID14	9	25290012	115525680	187	-0.3734
mm9.TB.SID14	9	115990316	123494127	17	-0.2723
mm9.TB.SID14	10	0	25158529	45	-0.0235
mm9.TB.SID14	10	25665918	113296734	177	-0.3873
mm9.TB.SID14	10	113803759	129382004	33	0.2113
mm9.TB.SID14	11	0	94708624	189	0.1623
mm9.TB.SID14	11	95166905	102180518	16	0.0317
mm9.TB.SID14	11	102645617	121344070	41	0.1483
mm9.TB.SID14	12	0	9568389	14	0.4851
mm9.TB.SID14	12	10088759	17088487	15	0.5841
mm9.TB.SID14	12	17568220	25208739	5	0.3561
mm9.TB.SID14	12	25675920	55269996	60	0.5174
mm9.TB.SID14	12	55747834	66275521	21	0.4018
mm9.TB.SID14	12	66789158	72702545	13	0.5221
mm9.TB.SID14	12	73159467	120667841	96	0.8186
mm9.TB.SID14	13	0	119737617	227	-0.3339
mm9.TB.SID14	14	0	124602070	228	-0.3977
mm9.TB.SID14	15	0	67155572	128	0.5833
mm9.TB.SID14	15	67650765	102986140	75	0.1535
mm9.TB.SID14	16	0	97814718	192	0.445
mm9.TB.SID14	17	0	94676235	178	0.1815
mm9.TB.SID14	18	0	90105717	178	0.5101
mm9.TB.SID14	19	0	60830384	119	0.3955
mm9.TB.SID14	20	0	1538205	270	-0.576217796
mm9.TB.SID15	1	0	87574718	163	-0.2052
mm9.TB.SID15	1	88043497	95049914	16	-0.0579
mm9.TB.SID15	1	95504125	196640521	203	-0.1958
mm9.TB.SID15	2	0	24368585	43	0.0965
mm9.TB.SID15	2	24832582	26745889	5	0.3102
mm9.TB.SID15	2	27205544	77126310	104	0.1186
mm9.TB.SID15	2	77591839	90579203	25	0.0099
mm9.TB.SID15	2	91042518	181228717	181	0.1173
mm9.TB.SID15	3	0	159019749	308	0.2105
mm9.TB.SID15	4	0	5992877	6	-0.2002
mm9.TB.SID15	4	6511257	12105945	12	0.2142
mm9.TB.SID15	4	12633903	53271841	78	-0.2968
mm9.TB.SID15	4	53756304	70456987	32	0.0053
mm9.TB.SID15	4	71006783	74410951	7	-0.1818
mm9.TB.SID15	4	74976435	78957177	9	-0.0498
mm9.TB.SID15	4	79496565	82564546	7	0.4211
mm9.TB.SID15	4	83058420	87843709	11	0.0377
mm9.TB.SID15	4	88369971	144080119	113	-0.6333
mm9.TB.SID15	4	144632525	155120393	20	-0.5127
mm9.TB.SID15	5	0	12151356	16	-0.2569
mm9.TB.SID15	5	12647619	151960154	275	-0.182
mm9.TB.SID15	6	0	21439629	36	0.5697
mm9.TB.SID15	6	21916159	27141982	11	0.9704
mm9.TB.SID15	6	27648455	149004146	242	0.2619
mm9.TB.SID15	7	0	15013625	14	-0.3921
mm9.TB.SID15	7	16463046	152071114	246	-0.217
mm9.TB.SID15	8	0	117492118	222	0.1955
mm9.TB.SID15	8	117948108	131123013	29	0.3033
mm9.TB.SID15	9	0	123494127	246	-0.1637
mm9.TB.SID15	10	0	71889805	138	-0.7521
mm9.TB.SID15	10	72381498	80707794	18	-0.5821
mm9.TB.SID15	10	81510648	129382004	99	-0.7354
mm9.TB.SID15	11	0	121344070	246	-0.1412
mm9.TB.SID15	12	0	120667841	224	0.1857
mm9.TB.SID15	13	0	59873772	113	0.1583
mm9.TB.SID15	13	60345258	68935078	13	0.0305
mm9.TB.SID15	13	69432224	119737617	101	0.1516
mm9.TB.SID15	14	0	124602070	228	0.1676
mm9.TB.SID15	15	0	102986140	203	0.2039
mm9.TB.SID15	16	0	97814718	192	-0.1599
mm9.TB.SID15	17	0	94676235	178	-0.1408
mm9.TB.SID15	18	0	90105717	178	0.2178
mm9.TB.SID15	19	0	7099177	9	0.3038
mm9.TB.SID15	19	7558869	60830384	110	0.2
mm9.TB.SID15	20	0	1538205	270	-0.079516563
mm9.TB.SID16	1	0	41780208	76	-0.0305
mm9.TB.SID16	1	42249479	44128102	5	0.1272
mm9.TB.SID16	1	44717032	49835813	10	-0.1514
mm9.TB.SID16	1	50366177	96711057	91	0.0167
mm9.TB.SID16	1	97220684	119466572	43	-0.0732
mm9.TB.SID16	1	120296152	140791949	44	0.0329
mm9.TB.SID16	1	141257505	149299468	16	-0.1083
mm9.TB.SID16	1	149848037	196640521	97	-0.000999301
mm9.TB.SID16	2	0	84829196	167	-0.0161
mm9.TB.SID16	2	85335595	89280170	8	-0.1942
mm9.TB.SID16	2	89866040	181228717	183	0.002
mm9.TB.SID16	3	0	23566710	38	0.323207028
mm9.TB.SID16	3	24079761	159019749	270	0.4064
mm9.TB.SID16	4	0	92128373	170	-0.5905
mm9.TB.SID16	4	92672116	107197057	31	-0.4857
mm9.TB.SID16	4	107661760	126388561	37	-0.598
mm9.TB.SID16	4	126870137	155120393	57	0.0156
mm9.TB.SID16	5	0	54491706	99	0.2137
mm9.TB.SID16	5	54995245	60760759	12	0.0535
mm9.TB.SID16	5	61310979	82264512	43	0.2014
mm9.TB.SID16	5	82781104	88097261	11	0.0743
mm9.TB.SID16	5	88621124	151960154	126	0.1857
mm9.TB.SID16	6	0	128445797	249	0.0216
mm9.TB.SID16	6	129004640	132927189	7	-0.1235
mm9.TB.SID16	6	133600154	149004146	33	0.0422
mm9.TB.SID16	7	0	152071114	260	-0.0643
mm9.TB.SID16	8	0	7922369	10	0.2913
mm9.TB.SID16	8	8404786	26703973	33	0.4799
mm9.TB.SID16	8	27177741	131123013	208	0.353000047
mm9.TB.SID16	9	0	13577629	20	-0.0694
mm9.TB.SID16	9	14053103	15959620	5	0.1163
mm9.TB.SID16	9	16442641	21344737	10	-0.1075
mm9.TB.SID16	9	21816975	40139692	38	0.051
mm9.TB.SID16	9	40603128	123494127	173	-0.5189
mm9.TB.SID16	10	0	129382004	255	-0.0021
mm9.TB.SID16	11	0	30446356	55	-0.0077
mm9.TB.SID16	11	30969628	34809035	9	0.1204
mm9.TB.SID16	11	35259460	61984896	56	0.022
mm9.TB.SID16	11	62454860	68028491	13	0.1115
mm9.TB.SID16	11	68479453	121344070	113	-0.0268
mm9.TB.SID16	12	0	120667841	224	-0.5379
mm9.TB.SID16	13	0	74162410	137	-0.5341
mm9.TB.SID16	13	74699033	87945785	26	-0.6715
mm9.TB.SID16	13	88470737	119737617	64	-0.5368
mm9.TB.SID16	14	0	124602070	228	-0.5735
mm9.TB.SID16	15	0	44115322	82	-0.0576
mm9.TB.SID16	15	44609161	49325150	10	-0.2004
mm9.TB.SID16	15	49835881	92590131	89	7.00E-04
mm9.TB.SID16	15	93089708	102986140	22	-0.0833
mm9.TB.SID16	16	0	13040259	21	0.759
mm9.TB.SID16	16	13529647	97814718	171	0.6572
mm9.TB.SID16	17	0	14609918	21	0.1342
mm9.TB.SID16	17	15097220	19759161	9	-0.1031
mm9.TB.SID16	17	20308806	89080260	137	0.0255
mm9.TB.SID16	17	89578024	94676235	11	-0.0824
mm9.TB.SID16	18	0	90105717	178	-0.0072
mm9.TB.SID16	19	0	60830384	119	0.0199
mm9.TB.SID16	20	0	12952756	16	0.4089
mm9.TB.SID16	20	13425882	159368556	238	0.3003
mm9.TB.SID16	20	159880220	1538205	16	-0.859768884
mm9.TB.SID1	1	0	112554820	212	0.0883
mm9.TB.SID1	1	113064126	119466572	13	-0.0658
mm9.TB.SID1	1	120296152	191007825	145	0.0616
mm9.TB.SID1	1	191485906	196640521	12	0.1952
mm9.TB.SID1	2	0	33200157	62	0.142
mm9.TB.SID1	2	33656879	181228717	296	-0.2841
mm9.TB.SID1	3	0	127868447	244	0.0273
mm9.TB.SID1	3	128352651	153992433	54	0.2514
mm9.TB.SID1	3	154470235	159019749	10	-0.1569
mm9.TB.SID1	4	0	110640326	208	0.0884
mm9.TB.SID1	4	111133652	140766527	61	0.0031
mm9.TB.SID1	4	141227293	155120393	26	-0.8954
mm9.TB.SID1	5	0	12647619	17	0.2193
mm9.TB.SID1	5	13164213	15924369	6	0.3919
mm9.TB.SID1	5	16436626	151960154	268	0.171048376
mm9.TB.SID1	6	0	49424637	92	0.4355
mm9.TB.SID1	6	49912013	149004146	197	0.674222807
mm9.TB.SID1	7	0	152071114	260	-0.2946
mm9.TB.SID1	8	0	49576986	89	0.0876
mm9.TB.SID1	8	50024343	51941752	5	0.2588
mm9.TB.SID1	8	52462445	125774073	146	0.0305
mm9.TB.SID1	8	126329079	131123013	11	0.0929
mm9.TB.SID1	9	0	91248133	179	0.0892
mm9.TB.SID1	9	91760741	123494127	67	-0.7362
mm9.TB.SID1	10	0	129382004	255	0.0287
mm9.TB.SID1	11	0	75305448	148	0.1363
mm9.TB.SID1	11	75762624	79016588	8	0.0282
mm9.TB.SID1	11	79477990	82262412	7	0.1237
mm9.TB.SID1	11	82721464	88399165	13	0.0099
mm9.TB.SID1	11	88928147	93278738	10	0.1465
mm9.TB.SID1	11	93755138	96548574	7	0.0139
mm9.TB.SID1	11	97008508	121344070	53	-0.306
mm9.TB.SID1	12	0	120667841	224	0.0565
mm9.TB.SID1	13	0	108215869	203	-0.2872
mm9.TB.SID1	13	108673035	111057165	6	-0.1646
mm9.TB.SID1	13	111533778	119737617	18	-0.2512
mm9.TB.SID1	14	0	37711550	60	-0.3162
mm9.TB.SID1	14	38202612	41828542	8	-0.8707
mm9.TB.SID1	14	44548042	124602070	160	-0.3301
mm9.TB.SID1	15	0	37167577	68	0.0913
mm9.TB.SID1	15	37639813	54787207	35	-0.3455
mm9.TB.SID1	15	55257769	102986140	100	0.0394
mm9.TB.SID1	16	0	97814718	192	-0.254547767
mm9.TB.SID1	17	0	15097220	22	0.2497
mm9.TB.SID1	17	15645166	89578024	146	0.1266
mm9.TB.SID1	17	90084986	94676235	10	0.2364
mm9.TB.SID1	18	0	38687054	72	-0.2347
mm9.TB.SID1	18	39139485	90105717	106	0.4839
mm9.TB.SID1	19	0	60830384	119	0.4165
mm9.TB.SID1	20	0	1538205	270	-0.983585308
mm9.TB.SID2	1	0	89468700	167	0.2127
mm9.TB.SID2	1	89959132	97220684	16	0.3343
mm9.TB.SID2	1	97736080	108322883	21	0.1893
mm9.TB.SID2	1	108800540	116875509	16	0.079
mm9.TB.SID2	1	117398581	196640521	162	0.2122
mm9.TB.SID2	2	0	24368585	43	-0.5829
mm9.TB.SID2	2	24832582	32746501	18	-0.4946
mm9.TB.SID2	2	33200157	70651281	77	-0.616
mm9.TB.SID2	2	71118634	178952219	215	-0.043
mm9.TB.SID2	2	179404446	181228717	5	0.1664
mm9.TB.SID2	3	0	159019749	308	-0.043758824
mm9.TB.SID2	4	0	55702318	101	0.3099
mm9.TB.SID2	4	56175560	85896900	57	0.883
mm9.TB.SID2	4	86391449	88369971	5	0.6537
mm9.TB.SID2	4	88927114	155120393	132	-0.098
mm9.TB.SID2	5	0	34370343	58	-0.1757
mm9.TB.SID2	5	34849419	37220941	6	-0.0358
mm9.TB.SID2	5	37674541	151960154	227	-0.2055
mm9.TB.SID2	6	0	56417666	107	0.3169
mm9.TB.SID2	6	56889487	70653984	25	0.2023
mm9.TB.SID2	6	71122345	72986841	5	0.3605
mm9.TB.SID2	6	73512822	81707485	17	0.1881
mm9.TB.SID2	6	82245736	149004146	135	0.2873
mm9.TB.SID2	7	0	49514496	54	-0.183095893
mm9.TB.SID2	7	50378393	53308794	7	-0.04
mm9.TB.SID2	7	53756644	145354311	185	-0.1487
mm9.TB.SID2	7	145810190	152071114	14	-0.03
mm9.TB.SID2	8	0	25263272	40	0.3381
mm9.TB.SID2	8	25718680	121166250	190	0.2358
mm9.TB.SID2	8	121628339	131123013	21	0.3148
mm9.TB.SID2	9	0	123494127	246	-0.0601
mm9.TB.SID2	10	0	40055317	74	-0.6177
mm9.TB.SID2	10	40533500	49504182	19	-0.7269
mm9.TB.SID2	10	50081364	129382004	162	-0.6082
mm9.TB.SID2	11	0	108293142	218	-0.534
mm9.TB.SID2	11	108780534	121344070	28	-0.4351
mm9.TB.SID2	12	0	120667841	224	0.2689
mm9.TB.SID2	13	0	119737617	227	-0.07265861
mm9.TB.SID2	14	0	49933091	79	0.1901
mm9.TB.SID2	14	50418959	52830721	5	0.0108
mm9.TB.SID2	14	53742166	81348063	58	0.182
mm9.TB.SID2	14	81859037	86562322	10	0.098576698
mm9.TB.SID2	14	87052884	96230459	19	0.4749
mm9.TB.SID2	14	96739348	110119869	28	-0.2627
mm9.TB.SID2	14	110663766	112707128	5	0.1212
mm9.TB.SID2	14	113233317	124602070	24	-0.2353
mm9.TB.SID2	15	0	44609161	83	0.2986
mm9.TB.SID2	15	45123346	48764203	8	0.1572
mm9.TB.SID2	15	49325150	102986140	112	0.305087205
mm9.TB.SID2	16	0	97814718	192	-0.0832
mm9.TB.SID2	17	0	94676235	178	-0.0494
mm9.TB.SID2	18	0	90105717	178	-0.0523
mm9.TB.SID2	19	0	7099177	9	0.5496
mm9.TB.SID2	19	7558869	60830384	110	0.43
mm9.TB.SID2	20	0	60056248	83	-1.6772
mm9.TB.SID2	20	60647165	62902501	5	-1.9427
mm9.TB.SID2	20	63495047	110801616	85	-1.6525
mm9.TB.SID2	20	111363128	1538205	97	-1.832213554
mm9.TB.SID3	1	0	196640521	382	0.0789
mm9.TB.SID3	2	0	181228717	358	-0.203
mm9.TB.SID3	3	0	159019749	308	0.1854
mm9.TB.SID3	4	0	140766527	269	-0.1647
mm9.TB.SID3	4	141227293	155120393	26	-0.8545
mm9.TB.SID3	5	0	151960154	291	0.1285
mm9.TB.SID3	6	0	149004146	289	0.1774
mm9.TB.SID3	7	0	49514496	54	-0.3441
mm9.TB.SID3	7	50378393	152071114	206	-0.2501
mm9.TB.SID3	8	0	6860710	8	0.0533
mm9.TB.SID3	8	7404667	24797835	31	0.1798
mm9.TB.SID3	8	25263272	131123013	212	0.0786
mm9.TB.SID3	9	0	91248133	179	0.028
mm9.TB.SID3	9	91760741	120184057	60	-0.3265
mm9.TB.SID3	9	120653979	123494127	7	-0.1326
mm9.TB.SID3	10	0	129382004	255	0.0384
mm9.TB.SID3	11	0	121344070	246	0.1379
mm9.TB.SID3	12	0	120667841	224	-0.0764
mm9.TB.SID3	13	0	119737617	227	-0.2666
