"Gene","Chromosome","Arm","Cytoband","Start","ChrArm"
"CTRP12","Chr1","p","1p36.33",1242446,"Chr1p"
"FAM132A","Chr1","p","1p36.33",1242446,"Chr1p"
"MGC105127","Chr1","p","1p36.33",1242446,"Chr1p"
"UBE2J2","Chr1","p","1p36.33",1253909,"Chr1p"
"NCUBE2","Chr1","p","1p36.33",1253909,"Chr1p"
"UBC6P","Chr1","p","1p36.33",1253909,"Chr1p"
"LINC01786","Chr1","p","1p36.33",1275223,"Chr1p"
"SCNN1D","Chr1","p","1p36.33",1280436,"Chr1p"
"DNACH","Chr1","p","1p36.33",1280436,"Chr1p"
"ENACDELTA","Chr1","p","1p36.33",1280436,"Chr1p"
"ACAP3","Chr1","p","1p36.33",1292390,"Chr1p"
"CENTB5","Chr1","p","1p36.33",1292390,"Chr1p"
"KIAA1716","Chr1","p","1p36.33",1292390,"Chr1p"
"MIR6726","Chr1","p","1p36.33",1296110,"Chr1p"
"HSA-MIR-6726","Chr1","p","1p36.33",1296110,"Chr1p"
"PUSL1","Chr1","p","1p36.33",1308597,"Chr1p"
"FLJ90811","Chr1","p","1p36.33",1308597,"Chr1p"
"INTS11","Chr1","p","1p36.33",1311585,"Chr1p"
"CPSF3L","Chr1","p","1p36.33",1311585,"Chr1p"
"CPSF73L","Chr1","p","1p36.33",1311585,"Chr1p"
"FLJ20542","Chr1","p","1p36.33",1311585,"Chr1p"
"INT11","Chr1","p","1p36.33",1311585,"Chr1p"
"RC-68","Chr1","p","1p36.33",1311585,"Chr1p"
"MIR6727","Chr1","p","1p36.33",1312502,"Chr1p"
"HSA-MIR-6727","Chr1","p","1p36.33",1312502,"Chr1p"
"CPTP","Chr1","p","1p36.33",1324756,"Chr1p"
"GLTPD1","Chr1","p","1p36.33",1324756,"Chr1p"
"MGC10334","Chr1","p","1p36.33",1324756,"Chr1p"
"TAS1R3","Chr1","p","1p36.33",1331280,"Chr1p"
"T1R3","Chr1","p","1p36.33",1331280,"Chr1p"
"DVL1","Chr1","p","1p36.33",1335276,"Chr1p"
"MIR6808","Chr1","p","1p36.33",1339650,"Chr1p"
"HSA-MIR-6808","Chr1","p","1p36.33",1339650,"Chr1p"
"MXRA8","Chr1","p","1p36.33",1352689,"Chr1p"
"DKFZP586E2023","Chr1","p","1p36.33",1352689,"Chr1p"
"AURKAIP1","Chr1","p","1p36.33",1373730,"Chr1p"
"AIP","Chr1","p","1p36.33",1373730,"Chr1p"
"AKIP","Chr1","p","1p36.33",1373730,"Chr1p"
"FLJ20608","Chr1","p","1p36.33",1373730,"Chr1p"
"NDUFB4P8","Chr1","p","1p36.33",1378666,"Chr1p"
"CCNL2","Chr1","p","1p36.33",1385711,"Chr1p"
"ANIA-6B","Chr1","p","1p36.33",1385711,"Chr1p"
"CCNM","Chr1","p","1p36.33",1385711,"Chr1p"
"CCNS","Chr1","p","1p36.33",1385711,"Chr1p"
"HLA-ISO","Chr1","p","1p36.33",1385711,"Chr1p"
"PCEE","Chr1","p","1p36.33",1385711,"Chr1p"
"SB138","Chr1","p","1p36.33",1385711,"Chr1p"
"MRPL20-AS1","Chr1","p","1p36.33",1399515,"Chr1p"
"MRPL20","Chr1","p","1p36.33",1401909,"Chr1p"
"FLJ10024","Chr1","p","1p36.33",1401909,"Chr1p"
"RN7SL657P","Chr1","p","1p36.33",1405460,"Chr1p"
"MRPL20-DT","Chr1","p","1p36.33",1409096,"Chr1p"
"ANKRD65","Chr1","p","1p36.33",1418420,"Chr1p"
"ANKRD65-AS1","Chr1","p","1p36.33",1420245,"Chr1p"
"TMEM88B","Chr1","p","1p36.33",1425871,"Chr1p"
"LINC01770","Chr1","p","1p36.33",1430539,"Chr1p"
"VWA1","Chr1","p","1p36.33",1434861,"Chr1p"
"FLJ22215","Chr1","p","1p36.33",1434861,"Chr1p"
"VWA-1","Chr1","p","1p36.33",1434861,"Chr1p"
"WARP","Chr1","p","1p36.33",1434861,"Chr1p"
"ATAD3C","Chr1","p","1p36.33",1449689,"Chr1p"
"FLJ34599","Chr1","p","1p36.33",1449689,"Chr1p"
"ATAD3B","Chr1","p","1p36.33",1471765,"Chr1p"
"KIAA1273","Chr1","p","1p36.33",1471765,"Chr1p"
"TOB3","Chr1","p","1p36.33",1471765,"Chr1p"
"ATAD3A","Chr1","p","1p36.33",1512162,"Chr1p"
"FLJ10709","Chr1","p","1p36.33",1512162,"Chr1p"
"TMEM240","Chr1","p","1p36.33",1534778,"Chr1p"
"C1ORF70","Chr1","p","1p36.33",1534778,"Chr1p"
"SCA21","Chr1","p","1p36.33",1534778,"Chr1p"
"SSU72","Chr1","p","1p36.33",1541673,"Chr1p"
"HSPC182","Chr1","p","1p36.33",1541673,"Chr1p"
"FNDC10","Chr1","p","1p36.33",1598012,"Chr1p"
"C1ORF233","Chr1","p","1p36.33",1598012,"Chr1p"
"MIB2","Chr1","p","1p36.33",1615454,"Chr1p"
"FLJ39787","Chr1","p","1p36.33",1615454,"Chr1p"
"SKELETROPHIN","Chr1","p","1p36.33",1615454,"Chr1p"
"ZZANK1","Chr1","p","1p36.33",1615454,"Chr1p"
"ZZZ5","Chr1","p","1p36.33",1615454,"Chr1p"
"MMP23B","Chr1","p","1p36.33",1632163,"Chr1p"
"MIFR","Chr1","p","1p36.33",1632163,"Chr1p"
"MIFR-1","Chr1","p","1p36.33",1632163,"Chr1p"
"MMP22","Chr1","p","1p36.33",1632163,"Chr1p"
"CDK11B","Chr1","p","1p36.33",1635225,"Chr1p"
"CDC2L1","Chr1","p","1p36.33",1635225,"Chr1p"
"CDK11-P110","Chr1","p","1p36.33",1635225,"Chr1p"
"CDK11-P46","Chr1","p","1p36.33",1635225,"Chr1p"
"CDK11-P58","Chr1","p","1p36.33",1635225,"Chr1p"
"SLC35E2B","Chr1","p","1p36.33",1659529,"Chr1p"
"MMP23A","Chr1","p","1p36.33",1699942,"Chr1p"
"MMP21","Chr1","p","1p36.33",1699942,"Chr1p"
"CDK11A","Chr1","p","1p36.33",1702379,"Chr1p"
"CDC2L2","Chr1","p","1p36.33",1702379,"Chr1p"
"CDC2L3","Chr1","p","1p36.33",1702379,"Chr1p"
"P58GTA","Chr1","p","1p36.33",1702379,"Chr1p"
"PITSLRE","Chr1","p","1p36.33",1702379,"Chr1p"
"SLC35E2A","Chr1","p","1p36.33",1734690,"Chr1p"
"KIAA0447","Chr1","p","1p36.33",1734690,"Chr1p"
"SLC35E2","Chr1","p","1p36.33",1734690,"Chr1p"
"SLC35E2AP","Chr1","p","1p36.33",1734690,"Chr1p"
"SLC35E2P","Chr1","p","1p36.33",1734690,"Chr1p"
"NADK","Chr1","p","1p36.33",1751232,"Chr1p"
"FLJ13052","Chr1","p","1p36.33",1751232,"Chr1p"
"GNB1","Chr1","p","1p36.33",1785285,"Chr1p"
"GNB1-DT","Chr1","p","1p36.33",1891223,"Chr1p"
"CALML6","Chr1","p","1p36.33",1915108,"Chr1p"
"CAGLP","Chr1","p","1p36.33",1915108,"Chr1p"
"TMEM52","Chr1","p","1p36.33",1917590,"Chr1p"
"CFAP74","Chr1","p","1p36.33",1921951,"Chr1p"
"C1ORF222","Chr1","p","1p36.33",1921951,"Chr1p"
"FLJ45476","Chr1","p","1p36.33",1921951,"Chr1p"
"KIAA1751","Chr1","p","1p36.33",1921951,"Chr1p"
"GABRD","Chr1","p","1p36.33",2019329,"Chr1p"
"PRKCZ-DT","Chr1","p","1p36.33",2049203,"Chr1p"
"PRKCZ","Chr1","p","1p36.33",2050411,"Chr1p"
"PKC2","Chr1","p","1p36.33",2050411,"Chr1p"
"PRKCZ-AS1","Chr1","p","1p36.33",2181794,"Chr1p"
"RP11-181G12.2","Chr1","p","1p36.33",2181794,"Chr1p"
"FAAP20","Chr1","p","1p36.33",2184461,"Chr1p"
"C1ORF86","Chr1","p","1p36.33",2184461,"Chr1p"
"FLJ31031","Chr1","p","1p36.33",2184461,"Chr1p"
"SKI","Chr1","p","1p36.33",2227388,"Chr1p"
"MORN1","Chr1","p","1p36.32",2321253,"Chr1p"
"FLJ13941","Chr1","p","1p36.32",2321253,"Chr1p"
"RER1","Chr1","p","1p36.32",2391775,"Chr1p"
"PEX10","Chr1","p","1p36.32",2403964,"Chr1p"
"RNF69","Chr1","p","1p36.32",2403964,"Chr1p"
"PLCH2","Chr1","p","1p36.32",2425980,"Chr1p"
"KIAA0450","Chr1","p","1p36.32",2425980,"Chr1p"
"PLC-ETA2","Chr1","p","1p36.32",2425980,"Chr1p"
"PLCETA2","Chr1","p","1p36.32",2425980,"Chr1p"
"PLCL4","Chr1","p","1p36.32",2425980,"Chr1p"
"RP3-395M20.1","Chr1","p","1p36.32",2425980,"Chr1p"
"PANK4","Chr1","p","1p36.32",2508537,"Chr1p"
"FLJ10782","Chr1","p","1p36.32",2508537,"Chr1p"
"HES5","Chr1","p","1p36.32",2528745,"Chr1p"
"BHLHB38","Chr1","p","1p36.32",2528745,"Chr1p"
"TNFRSF14-AS1","Chr1","p","1p36.32",2549920,"Chr1p"
"ENST00000416860.2","Chr1","p","1p36.32",2549920,"Chr1p"
"TNFRSF14","Chr1","p","1p36.32",2555639,"Chr1p"
"ATAR","Chr1","p","1p36.32",2555639,"Chr1p"
"CD270","Chr1","p","1p36.32",2555639,"Chr1p"
"HVEA","Chr1","p","1p36.32",2555639,"Chr1p"
"HVEM","Chr1","p","1p36.32",2555639,"Chr1p"
"LIGHTR","Chr1","p","1p36.32",2555639,"Chr1p"
"TR2","Chr1","p","1p36.32",2555639,"Chr1p"
"PRXL2B","Chr1","p","1p36.32",2586491,"Chr1p"
"C1ORF93","Chr1","p","1p36.32",2586491,"Chr1p"
"FAM213B","Chr1","p","1p36.32",2586491,"Chr1p"
"MGC26818","Chr1","p","1p36.32",2586491,"Chr1p"
"MMEL1","Chr1","p","1p36.32",2590639,"Chr1p"
"MMEL2","Chr1","p","1p36.32",2590639,"Chr1p"
"NEPII","Chr1","p","1p36.32",2590639,"Chr1p"
"NL1","Chr1","p","1p36.32",2590639,"Chr1p"
"NL2","Chr1","p","1p36.32",2590639,"Chr1p"
"SEP","Chr1","p","1p36.32",2590639,"Chr1p"
"MMEL1-AS1","Chr1","p","1p36.32",2632568,"Chr1p"
"TTC34","Chr1","p","1p36.32",2636986,"Chr1p"
"ACTRT2","Chr1","p","1p36.32",3021467,"Chr1p"
"ARP-T2","Chr1","p","1p36.32",3021467,"Chr1p"
"ARPM2","Chr1","p","1p36.32",3021467,"Chr1p"
"FLJ25424","Chr1","p","1p36.32",3021467,"Chr1p"
"PRDM16-DT","Chr1","p","1p36.32",3059611,"Chr1p"
"FLJ42875","Chr1","p","1p36.32",3059611,"Chr1p"
"LINC00982","Chr1","p","1p36.32",3059611,"Chr1p"
"LNC-DPRDM16","Chr1","p","1p36.32",3059611,"Chr1p"
"PRDM16","Chr1","p","1p36.32",3069168,"Chr1p"
"KIAA1675","Chr1","p","1p36.32",3069168,"Chr1p"
"KMT8F","Chr1","p","1p36.32",3069168,"Chr1p"
"MEL1","Chr1","p","1p36.32",3069168,"Chr1p"
"MGC166915","Chr1","p","1p36.32",3069168,"Chr1p"
"PFM13","Chr1","p","1p36.32",3069168,"Chr1p"
"MIR4251","Chr1","p","1p36.32",3127975,"Chr1p"
"HSA-MIR-4251","Chr1","p","1p36.32",3127975,"Chr1p"
"ARHGEF16","Chr1","p","1p36.32",3454665,"Chr1p"
"GEF16","Chr1","p","1p36.32",3454665,"Chr1p"
"NBR","Chr1","p","1p36.32",3454665,"Chr1p"
"MEGF6","Chr1","p","1p36.32",3487951,"Chr1p"
"EGFL3","Chr1","p","1p36.32",3487951,"Chr1p"
"MIR551A","Chr1","p","1p36.32",3560695,"Chr1p"
"HSA-MIR-551A","Chr1","p","1p36.32",3560695,"Chr1p"
"MIRN551A","Chr1","p","1p36.32",3560695,"Chr1p"
"TPRG1L","Chr1","p","1p36.32",3625015,"Chr1p"
"FAM79A","Chr1","p","1p36.32",3625015,"Chr1p"
"FLJ21811","Chr1","p","1p36.32",3625015,"Chr1p"
"H-MOVER","Chr1","p","1p36.32",3625015,"Chr1p"
"RP11-46F15.3","Chr1","p","1p36.32",3625015,"Chr1p"
"SVAP30","Chr1","p","1p36.32",3625015,"Chr1p"
"TPRGL","Chr1","p","1p36.32",3625015,"Chr1p"
"WRAP73","Chr1","p","1p36.32",3630767,"Chr1p"
"WDR8","Chr1","p","1p36.32",3630767,"Chr1p"
"TP73","Chr1","p","1p36.32",3652516,"Chr1p"
"P73","Chr1","p","1p36.32",3652516,"Chr1p"
"TP73-AS3","Chr1","p","1p36.32",3658938,"Chr1p"
"TP73-AS2","Chr1","p","1p36.32",3712200,"Chr1p"
"RP5-1092A11.2","Chr1","p","1p36.32",3712200,"Chr1p"
"TP73-AS1","Chr1","p","1p36.32",3735511,"Chr1p"
"KIAA0495","Chr1","p","1p36.32",3735511,"Chr1p"
"PDAM","Chr1","p","1p36.32",3735511,"Chr1p"
"CCDC27","Chr1","p","1p36.32",3746460,"Chr1p"
"FLJ32825","Chr1","p","1p36.32",3746460,"Chr1p"
"SMIM1","Chr1","p","1p36.32",3772749,"Chr1p"
"VEL","Chr1","p","1p36.32",3772749,"Chr1p"
"LRRC47","Chr1","p","1p36.32",3778559,"Chr1p"
"KIAA1185","Chr1","p","1p36.32",3778559,"Chr1p"
"RP1-286D6.3","Chr1","p","1p36.32",3778559,"Chr1p"
"RN7SL574P","Chr1","p","1p36.32",3782815,"Chr1p"
"CEP104","Chr1","p","1p36.32",3812086,"Chr1p"
"CFAP256","Chr1","p","1p36.32",3812086,"Chr1p"
"GLYBP","Chr1","p","1p36.32",3812086,"Chr1p"
"JBTS25","Chr1","p","1p36.32",3812086,"Chr1p"
"KIAA0562","Chr1","p","1p36.32",3812086,"Chr1p"
"ROC22","Chr1","p","1p36.32",3812086,"Chr1p"
"RP1-286D6.4","Chr1","p","1p36.32",3812086,"Chr1p"
"DFFB","Chr1","p","1p36.32",3857267,"Chr1p"
"CAD","Chr1","p","1p36.32",3857267,"Chr1p"
"CPAN","Chr1","p","1p36.32",3857267,"Chr1p"
"DFF-40","Chr1","p","1p36.32",3857267,"Chr1p"
"DFF40","Chr1","p","1p36.32",3857267,"Chr1p"
"C1ORF174","Chr1","p","1p36.32",3889125,"Chr1p"
"RP13-531C17.2","Chr1","p","1p36.32",3889125,"Chr1p"
"LINC01134","Chr1","p","1p36.32",3900347,"Chr1p"
"TLNC1","Chr1","p","1p36.32",3900347,"Chr1p"
"LINC01346","Chr1","p","1p36.32",3940486,"Chr1p"
"LINC01345","Chr1","p","1p36.32",3944547,"Chr1p"
"LINC02780","Chr1","p","1p36.32",3976133,"Chr1p"
"EEF1DP6","Chr1","p","1p36.32",4175528,"Chr1p"
"LINC01777","Chr1","p","1p36.32",4412027,"Chr1p"
"LINC01646","Chr1","p","1p36.32",4571481,"Chr1p"
"AJAP1","Chr1","p","1p36.32",4654609,"Chr1p"
"MOT8","Chr1","p","1p36.32",4654609,"Chr1p"
"SHREW-1","Chr1","p","1p36.32",4654609,"Chr1p"
"SHREW1","Chr1","p","1p36.32",4654609,"Chr1p"
"LINC02781","Chr1","p","1p36.32",4973381,"Chr1p"
"LINC02782","Chr1","p","1p36.32",5086459,"Chr1p"
"MIR4689","Chr1","p","1p36.31",5862672,"Chr1p"
"HSA-MIR-4689","Chr1","p","1p36.31",5862672,"Chr1p"
"NPHP4","Chr1","p","1p36.31",5862811,"Chr1p"
"KIAA0673","Chr1","p","1p36.31",5862811,"Chr1p"
"POC10","Chr1","p","1p36.31",5862811,"Chr1p"
"SLSN4","Chr1","p","1p36.31",5862811,"Chr1p"
"KCNAB2","Chr1","p","1p36.31",5990927,"Chr1p"
"AKR6A5","Chr1","p","1p36.31",5990927,"Chr1p"
"HKVBETA2.1","Chr1","p","1p36.31",5990927,"Chr1p"
"HKVBETA2.2","Chr1","p","1p36.31",5990927,"Chr1p"
"KCNA2B","Chr1","p","1p36.31",5990927,"Chr1p"
"CHD5","Chr1","p","1p36.31",6101787,"Chr1p"
"RPL22","Chr1","p","1p36.31",6185020,"Chr1p"
"EAP","Chr1","p","1p36.31",6185020,"Chr1p"
"L22","Chr1","p","1p36.31",6185020,"Chr1p"
"RNF207-AS1","Chr1","p","1p36.31",6204840,"Chr1p"
"RNF207","Chr1","p","1p36.31",6205475,"Chr1p"
"C1ORF188","Chr1","p","1p36.31",6205475,"Chr1p"
"FLJ32096","Chr1","p","1p36.31",6205475,"Chr1p"
"FLJ46380","Chr1","p","1p36.31",6205475,"Chr1p"
"ICMT","Chr1","p","1p36.31",6221193,"Chr1p"
"HSTE14","Chr1","p","1p36.31",6221193,"Chr1p"
"PCCMT","Chr1","p","1p36.31",6221193,"Chr1p"
"PPMT","Chr1","p","1p36.31",6221193,"Chr1p"
"ICMT-DT","Chr1","p","1p36.31",6234692,"Chr1p"
"C1ORF211","Chr1","p","1p36.31",6234692,"Chr1p"
"LINC00337","Chr1","p","1p36.31",6234692,"Chr1p"
"MGC40168","Chr1","p","1p36.31",6234692,"Chr1p"
"NCRNA00337","Chr1","p","1p36.31",6234692,"Chr1p"
"HES3","Chr1","p","1p36.31",6244179,"Chr1p"
"BHLHB43","Chr1","p","1p36.31",6244179,"Chr1p"
"GPR153","Chr1","p","1p36.31",6247353,"Chr1p"
"PGR1","Chr1","p","1p36.31",6247353,"Chr1p"
"ACOT7","Chr1","p","1p36.31",6264269,"Chr1p"
"ACH1","Chr1","p","1p36.31",6264269,"Chr1p"
"ACT","Chr1","p","1p36.31",6264269,"Chr1p"
"BACH","Chr1","p","1p36.31",6264269,"Chr1p"
"CTE-II","Chr1","p","1p36.31",6264269,"Chr1p"
"HBACH","Chr1","p","1p36.31",6264269,"Chr1p"
"LACH1","Chr1","p","1p36.31",6264269,"Chr1p"
"MGC1126","Chr1","p","1p36.31",6264269,"Chr1p"
"HES2","Chr1","p","1p36.31",6412418,"Chr1p"
"BHLHB40","Chr1","p","1p36.31",6412418,"Chr1p"
"ESPN","Chr1","p","1p36.31",6424776,"Chr1p"
"DFNB36","Chr1","p","1p36.31",6424776,"Chr1p"
"MIR4252","Chr1","p","1p36.31",6429834,"Chr1p"
"HSA-MIR-4252","Chr1","p","1p36.31",6429834,"Chr1p"
"TNFRSF25","Chr1","p","1p36.31",6460786,"Chr1p"
"APO-3","Chr1","p","1p36.31",6460786,"Chr1p"
"DDR3","Chr1","p","1p36.31",6460786,"Chr1p"
"DR3","Chr1","p","1p36.31",6460786,"Chr1p"
"LARD","Chr1","p","1p36.31",6460786,"Chr1p"
"TNFRSF12","Chr1","p","1p36.31",6460786,"Chr1p"
"TR3","Chr1","p","1p36.31",6460786,"Chr1p"
"TRAMP","Chr1","p","1p36.31",6460786,"Chr1p"
"WSL-1","Chr1","p","1p36.31",6460786,"Chr1p"
"WSL-LR","Chr1","p","1p36.31",6460786,"Chr1p"
"PLEKHG5","Chr1","p","1p36.31",6467122,"Chr1p"
"GEF720","Chr1","p","1p36.31",6467122,"Chr1p"
"KIAA0720","Chr1","p","1p36.31",6467122,"Chr1p"
"SYX","Chr1","p","1p36.31",6467122,"Chr1p"
"TECH","Chr1","p","1p36.31",6467122,"Chr1p"
"NOL9","Chr1","p","1p36.31",6521347,"Chr1p"
"FLJ23323","Chr1","p","1p36.31",6521347,"Chr1p"
"GRC3","Chr1","p","1p36.31",6521347,"Chr1p"
"NET6","Chr1","p","1p36.31",6521347,"Chr1p"
"RNU6-731P","Chr1","p","1p36.31",6540854,"Chr1p"
"TAS1R1","Chr1","p","1p36.31",6555307,"Chr1p"
"GPR70","Chr1","p","1p36.31",6555307,"Chr1p"
"T1R1","Chr1","p","1p36.31",6555307,"Chr1p"
"TR1","Chr1","p","1p36.31",6555307,"Chr1p"
"ZBTB48","Chr1","p","1p36.31",6579994,"Chr1p"
"HKR3","Chr1","p","1p36.31",6579994,"Chr1p"
"TZAP","Chr1","p","1p36.31",6579994,"Chr1p"
"ZNF855","Chr1","p","1p36.31",6579994,"Chr1p"
"KLHL21","Chr1","p","1p36.31",6590724,"Chr1p"
"KIAA0469","Chr1","p","1p36.31",6590724,"Chr1p"
"PHF13","Chr1","p","1p36.31",6613731,"Chr1p"
"MGC43399","Chr1","p","1p36.31",6613731,"Chr1p"
"SPOC1","Chr1","p","1p36.31",6613731,"Chr1p"
"THAP3","Chr1","p","1p36.31",6624868,"Chr1p"
"DNAJC11","Chr1","p","1p36.31",6634168,"Chr1p"
"FLJ10737","Chr1","p","1p36.31",6634168,"Chr1p"
"LINC01672","Chr1","p","1p36.31",6724637,"Chr1p"
"NMR","Chr1","p","1p36.31",6724637,"Chr1p"
"CAMTA1-DT","Chr1","p","1p36.31",6783892,"Chr1p"
"LNCCAMTA1","Chr1","p","1p36.31",6783892,"Chr1p"
"CAMTA1","Chr1","p","1p36.31",6785454,"Chr1p"
"KIAA0833","Chr1","p","1p36.31",6785454,"Chr1p"
